#gene	source(s)
CCDC144A	https://dx.doi.org/10.1002/humu.22033
CCDC144NL	https://dx.doi.org/10.1002/humu.22033
CCDC74A	https://dx.doi.org/10.1002/humu.22033
CCDC74B	https://dx.doi.org/10.1002/humu.22033
CCL3L1	https://dx.doi.org/10.1002/humu.22033
CCL3L3	https://dx.doi.org/10.1002/humu.22033
CCL4	https://dx.doi.org/10.1002/humu.22033
CCL4L1	https://dx.doi.org/10.1002/humu.22033
CCL4L2	https://dx.doi.org/10.1002/humu.22033
CCZ1	https://dx.doi.org/10.1002/humu.22033
CCZ1B	https://dx.doi.org/10.1002/humu.22033
CD177	https://dx.doi.org/10.1002/humu.22033
CD8B	https://dx.doi.org/10.1002/humu.22033
CDH12	https://dx.doi.org/10.1002/humu.22033
CDK11A	https://dx.doi.org/10.1002/humu.22033
CDK11B	https://dx.doi.org/10.1002/humu.22033
CDRT1	https://dx.doi.org/10.1002/humu.22033
CDRT15L2	https://dx.doi.org/10.1002/humu.22033
CDY1	https://dx.doi.org/10.1002/humu.22033
CDY1B	https://dx.doi.org/10.1002/humu.22033
CDY2A	https://dx.doi.org/10.1002/humu.22033
CDY2B	https://dx.doi.org/10.1002/humu.22033
CEL	https://dx.doi.org/10.1002/humu.22033
CELA3A	https://dx.doi.org/10.1002/humu.22033
CELA3B	https://dx.doi.org/10.1002/humu.22033
CEP170	https://dx.doi.org/10.1002/humu.22033
CES1	https://dx.doi.org/10.1002/humu.22033
CFC1	https://dx.doi.org/10.1002/humu.22033
CFC1B	https://dx.doi.org/10.1002/humu.22033
CFH	https://dx.doi.org/10.1002/humu.22033
CFHR1	https://dx.doi.org/10.1002/humu.22033
CFHR2	https://dx.doi.org/10.1002/humu.22033
CFHR3	https://dx.doi.org/10.1002/humu.22033
CFHR4	https://dx.doi.org/10.1002/humu.22033
CGB1	https://dx.doi.org/10.1002/humu.22033
CGB2	https://dx.doi.org/10.1002/humu.22033
CGB3	https://dx.doi.org/10.1002/humu.22033
CGB5	https://dx.doi.org/10.1002/humu.22033
CGB7	https://dx.doi.org/10.1002/humu.22033
CGB8	https://dx.doi.org/10.1002/humu.22033
CHEK2	https://dx.doi.org/10.1002/humu.22033
CHRFAM7A	https://dx.doi.org/10.1002/humu.22033
CHRNA7	https://dx.doi.org/10.1002/humu.22033
CISD2	https://dx.doi.org/10.1002/humu.22033
CKMT1A	https://dx.doi.org/10.1002/humu.22033
CKMT1B	https://dx.doi.org/10.1002/humu.22033
CLCNKA	https://dx.doi.org/10.1002/humu.22033
CLCNKB	https://dx.doi.org/10.1002/humu.22033
CLDN22	https://dx.doi.org/10.1002/humu.22033
CLDN24	https://dx.doi.org/10.1002/humu.22033
CLEC18A	https://dx.doi.org/10.1002/humu.22033
CLEC18B	https://dx.doi.org/10.1002/humu.22033
CLEC18C	https://dx.doi.org/10.1002/humu.22033
CNTNAP3	https://dx.doi.org/10.1002/humu.22033
CNTNAP3B	https://dx.doi.org/10.1002/humu.22033
CORO1A	https://dx.doi.org/10.1002/humu.22033
COX10	https://dx.doi.org/10.1002/humu.22033
CPEB1	https://dx.doi.org/10.1002/humu.22033
CR1	https://dx.doi.org/10.1002/humu.22033
CROCC	https://dx.doi.org/10.1002/humu.22033
CRYBB2	https://dx.doi.org/10.1002/humu.22033
CSAG3	https://dx.doi.org/10.1002/humu.22033
CSH1	https://dx.doi.org/10.1002/humu.22033
CSH2	https://dx.doi.org/10.1002/humu.22033
CT45A1	https://dx.doi.org/10.1002/humu.22033
CT45A2	https://dx.doi.org/10.1002/humu.22033
CT45A3	https://dx.doi.org/10.1002/humu.22033
CT45A4	https://dx.doi.org/10.1002/humu.22033
CT45A5	https://dx.doi.org/10.1002/humu.22033
CT45A6	https://dx.doi.org/10.1002/humu.22033
CT47A1	https://dx.doi.org/10.1002/humu.22033
CT47A10	https://dx.doi.org/10.1002/humu.22033
CT47A11	https://dx.doi.org/10.1002/humu.22033
CT47A12	https://dx.doi.org/10.1002/humu.22033
CT47A2	https://dx.doi.org/10.1002/humu.22033
CT47A3	https://dx.doi.org/10.1002/humu.22033
CT47A4	https://dx.doi.org/10.1002/humu.22033
CT47A5	https://dx.doi.org/10.1002/humu.22033
CT47A6	https://dx.doi.org/10.1002/humu.22033
CT47A7	https://dx.doi.org/10.1002/humu.22033
CT47A8	https://dx.doi.org/10.1002/humu.22033
CT47A9	https://dx.doi.org/10.1002/humu.22033
CT47B1	https://dx.doi.org/10.1002/humu.22033
CT55	https://dx.doi.org/10.1002/humu.22033
CTAG1A	https://dx.doi.org/10.1002/humu.22033
CTAG1B	https://dx.doi.org/10.1002/humu.22033
CTAG2	https://dx.doi.org/10.1002/humu.22033
CTAGE15	https://dx.doi.org/10.1002/humu.22033
CTAGE4	https://dx.doi.org/10.1002/humu.22033
CTAGE6	https://dx.doi.org/10.1002/humu.22033
CTAGE8	https://dx.doi.org/10.1002/humu.22033
CTAGE9	https://dx.doi.org/10.1002/humu.22033
CTRB1	https://dx.doi.org/10.1002/humu.22033
CTRB2	https://dx.doi.org/10.1002/humu.22033
CXORF40A	https://dx.doi.org/10.1002/humu.22033
CXORF40B	https://dx.doi.org/10.1002/humu.22033
CXORF49	https://dx.doi.org/10.1002/humu.22033
CXORF49B	https://dx.doi.org/10.1002/humu.22033
CXORF51A	https://dx.doi.org/10.1002/humu.22033
CXORF51B	https://dx.doi.org/10.1002/humu.22033
CYP11B1	https://dx.doi.org/10.1002/humu.22033
CYP11B2	https://dx.doi.org/10.1002/humu.22033
CYP21A2	https://dx.doi.org/10.1002/humu.22033
CYP2A6	https://dx.doi.org/10.1002/humu.22033
CYP2A7	https://dx.doi.org/10.1002/humu.22033
CYP2D6	https://dx.doi.org/10.1002/humu.22033
CYP2F1	https://dx.doi.org/10.1002/humu.22033
CYP4A11	https://dx.doi.org/10.1002/humu.22033
CYP4A22	https://dx.doi.org/10.1002/humu.22033
CYP4Z1	https://dx.doi.org/10.1002/humu.22033
DAZ1	https://dx.doi.org/10.1002/humu.22033
DAZ2	https://dx.doi.org/10.1002/humu.22033
DAZ3	https://dx.doi.org/10.1002/humu.22033
DAZ4	https://dx.doi.org/10.1002/humu.22033
DDT	https://dx.doi.org/10.1002/humu.22033
DDTL	https://dx.doi.org/10.1002/humu.22033
DDX11	https://dx.doi.org/10.1002/humu.22033
DDX19A	https://dx.doi.org/10.1002/humu.22033
DDX19B	https://dx.doi.org/10.1002/humu.22033
DEFA1	https://dx.doi.org/10.1002/humu.22033
DEFA1B	https://dx.doi.org/10.1002/humu.22033
DEFA3	https://dx.doi.org/10.1002/humu.22033
DEFB103A	https://dx.doi.org/10.1002/humu.22033
DEFB103B	https://dx.doi.org/10.1002/humu.22033
DEFB104A	https://dx.doi.org/10.1002/humu.22033
DEFB104B	https://dx.doi.org/10.1002/humu.22033
DEFB105A	https://dx.doi.org/10.1002/humu.22033
DEFB105B	https://dx.doi.org/10.1002/humu.22033
DEFB106A	https://dx.doi.org/10.1002/humu.22033
DEFB106B	https://dx.doi.org/10.1002/humu.22033
DEFB107A	https://dx.doi.org/10.1002/humu.22033
DEFB107B	https://dx.doi.org/10.1002/humu.22033
DEFB108B	https://dx.doi.org/10.1002/humu.22033
DEFB130	https://dx.doi.org/10.1002/humu.22033
DEFB131	https://dx.doi.org/10.1002/humu.22033
DEFB4A	https://dx.doi.org/10.1002/humu.22033
DEFB4B	https://dx.doi.org/10.1002/humu.22033
DEXI	https://dx.doi.org/10.1002/humu.22033
DHRS4	https://dx.doi.org/10.1002/humu.22033
DHRS4L1	https://dx.doi.org/10.1002/humu.22033
DHRS4L2	https://dx.doi.org/10.1002/humu.22033
DHX40	https://dx.doi.org/10.1002/humu.22033
DIS3L2	https://dx.doi.org/10.1002/humu.22033
DMBT1	https://dx.doi.org/10.1002/humu.22033
DMRTC1	https://dx.doi.org/10.1002/humu.22033
DMRTC1B	https://dx.doi.org/10.1002/humu.22033
DND1	https://dx.doi.org/10.1002/humu.22033
DPY19L1	https://dx.doi.org/10.1002/humu.22033
DPY19L2	https://dx.doi.org/10.1002/humu.22033
DTX2	https://dx.doi.org/10.1002/humu.22033
DUOX1	https://dx.doi.org/10.1002/humu.22033
DUOX2	https://dx.doi.org/10.1002/humu.22033
DUX4	https://dx.doi.org/10.1002/humu.22033
DUX4L2	https://dx.doi.org/10.1002/humu.22033
DUX4L3	https://dx.doi.org/10.1002/humu.22033
DUX4L4	https://dx.doi.org/10.1002/humu.22033
DUX4L5	https://dx.doi.org/10.1002/humu.22033
DUX4L6	https://dx.doi.org/10.1002/humu.22033
DUX4L7	https://dx.doi.org/10.1002/humu.22033
DUX4L8	https://dx.doi.org/10.1002/humu.22033
EEF2KMT	https://dx.doi.org/10.1002/humu.22033
EFCAB3	https://dx.doi.org/10.1002/humu.22033
EIF3C	https://dx.doi.org/10.1002/humu.22033
EIF3CL	https://dx.doi.org/10.1002/humu.22033
EIF5AL1	https://dx.doi.org/10.1002/humu.22033
EMB	https://dx.doi.org/10.1002/humu.22033
EP400	https://dx.doi.org/10.1002/humu.22033
ERVV-1	https://dx.doi.org/10.1002/humu.22033
ERVV-2	https://dx.doi.org/10.1002/humu.22033
ESRRA	https://dx.doi.org/10.1002/humu.22033
F8	https://dx.doi.org/10.1002/humu.22033
F8A1	https://dx.doi.org/10.1002/humu.22033
F8A2	https://dx.doi.org/10.1002/humu.22033
F8A3	https://dx.doi.org/10.1002/humu.22033
FAHD2A	https://dx.doi.org/10.1002/humu.22033
FAHD2B	https://dx.doi.org/10.1002/humu.22033
FAM103A1	https://dx.doi.org/10.1002/humu.22033
FAM120A	https://dx.doi.org/10.1002/humu.22033
FAM153A	https://dx.doi.org/10.1002/humu.22033
FAM153B	https://dx.doi.org/10.1002/humu.22033
FAM156A	https://dx.doi.org/10.1002/humu.22033
FAM156B	https://dx.doi.org/10.1002/humu.22033
FAM157A	https://dx.doi.org/10.1002/humu.22033
FAM157B	https://dx.doi.org/10.1002/humu.22033
FAM163B	https://dx.doi.org/10.1002/humu.22033
FAM185A	https://dx.doi.org/10.1002/humu.22033
FAM205A	https://dx.doi.org/10.1002/humu.22033
FAM21A	https://dx.doi.org/10.1002/humu.22033
FAM21C	https://dx.doi.org/10.1002/humu.22033
FAM231A	https://dx.doi.org/10.1002/humu.22033
FAM25A	https://dx.doi.org/10.1002/humu.22033
FAM25C	https://dx.doi.org/10.1002/humu.22033
FAM25G	https://dx.doi.org/10.1002/humu.22033
FAM35A	https://dx.doi.org/10.1002/humu.22033
FAM72A	https://dx.doi.org/10.1002/humu.22033
FAM72B	https://dx.doi.org/10.1002/humu.22033
FAM72C	https://dx.doi.org/10.1002/humu.22033
FAM72D	https://dx.doi.org/10.1002/humu.22033
FAM86B1	https://dx.doi.org/10.1002/humu.22033
FAM86B2	https://dx.doi.org/10.1002/humu.22033
FAM86C1	https://dx.doi.org/10.1002/humu.22033
FAM90A1	https://dx.doi.org/10.1002/humu.22033
FANCD2	https://dx.doi.org/10.1002/humu.22033
FBXO25	https://dx.doi.org/10.1002/humu.22033
FBXW10	https://dx.doi.org/10.1002/humu.22033
FCGBP	https://dx.doi.org/10.1002/humu.22033
FCGR1A	https://dx.doi.org/10.1002/humu.22033
FCGR1B	https://dx.doi.org/10.1002/humu.22033
FCGR2A	https://dx.doi.org/10.1002/humu.22033
FCGR2B	https://dx.doi.org/10.1002/humu.22033
FCGR2C	https://dx.doi.org/10.1002/humu.22033
FCGR3A	https://dx.doi.org/10.1002/humu.22033
FCGR3B	https://dx.doi.org/10.1002/humu.22033
FFAR3	https://dx.doi.org/10.1002/humu.22033
FGF7	https://dx.doi.org/10.1002/humu.22033
FKBP6	https://dx.doi.org/10.1002/humu.22033
FLG	https://dx.doi.org/10.1002/humu.22033
FLNC	https://dx.doi.org/10.1002/humu.22033
FOLH1B	https://dx.doi.org/10.1002/humu.22033
FOXD4	https://dx.doi.org/10.1002/humu.22033
FOXD4L1	https://dx.doi.org/10.1002/humu.22033
FOXD4L3	https://dx.doi.org/10.1002/humu.22033
FOXD4L4	https://dx.doi.org/10.1002/humu.22033
FOXD4L5	https://dx.doi.org/10.1002/humu.22033
FOXD4L6	https://dx.doi.org/10.1002/humu.22033
FOXO3	https://dx.doi.org/10.1002/humu.22033
FRG1	https://dx.doi.org/10.1002/humu.22033
FRG2	https://dx.doi.org/10.1002/humu.22033
FRG2B	https://dx.doi.org/10.1002/humu.22033
FRG2C	https://dx.doi.org/10.1002/humu.22033
FRMPD2	https://dx.doi.org/10.1002/humu.22033
FUT3	https://dx.doi.org/10.1002/humu.22033
FUT5	https://dx.doi.org/10.1002/humu.22033
GAGE1	https://dx.doi.org/10.1002/humu.22033
GAGE10	https://dx.doi.org/10.1002/humu.22033
GAGE12B	https://dx.doi.org/10.1002/humu.22033
GAGE12C	https://dx.doi.org/10.1002/humu.22033
GAGE12D	https://dx.doi.org/10.1002/humu.22033
GAGE12E	https://dx.doi.org/10.1002/humu.22033
GAGE12F	https://dx.doi.org/10.1002/humu.22033
GAGE12G	https://dx.doi.org/10.1002/humu.22033
GAGE12H	https://dx.doi.org/10.1002/humu.22033
GAGE12I	https://dx.doi.org/10.1002/humu.22033
GAGE12J	https://dx.doi.org/10.1002/humu.22033
GAGE13	https://dx.doi.org/10.1002/humu.22033
GAGE2A	https://dx.doi.org/10.1002/humu.22033
GAGE2B	https://dx.doi.org/10.1002/humu.22033
GAGE2C	https://dx.doi.org/10.1002/humu.22033
GAGE2D	https://dx.doi.org/10.1002/humu.22033
GAGE2E	https://dx.doi.org/10.1002/humu.22033
GAGE4	https://dx.doi.org/10.1002/humu.22033
GAGE5	https://dx.doi.org/10.1002/humu.22033
GAGE6	https://dx.doi.org/10.1002/humu.22033
GAGE7	https://dx.doi.org/10.1002/humu.22033
GAGE8	https://dx.doi.org/10.1002/humu.22033
GATSL2	https://dx.doi.org/10.1002/humu.22033
GBA	https://dx.doi.org/10.1002/humu.22033
GCC2	https://dx.doi.org/10.1002/humu.22033
GFRA2	https://dx.doi.org/10.1002/humu.22033
GGT1	https://dx.doi.org/10.1002/humu.22033
GGTLC1	https://dx.doi.org/10.1002/humu.22033
GGTLC2	https://dx.doi.org/10.1002/humu.22033
GOLGA6A	https://dx.doi.org/10.1002/humu.22033
GOLGA6B	https://dx.doi.org/10.1002/humu.22033
GOLGA6C	https://dx.doi.org/10.1002/humu.22033
GOLGA6D	https://dx.doi.org/10.1002/humu.22033
GOLGA6L1	https://dx.doi.org/10.1002/humu.22033
GOLGA6L10	https://dx.doi.org/10.1002/humu.22033
GOLGA6L4	https://dx.doi.org/10.1002/humu.22033
GOLGA6L6	https://dx.doi.org/10.1002/humu.22033
GOLGA6L9	https://dx.doi.org/10.1002/humu.22033
GOLGA8A	https://dx.doi.org/10.1002/humu.22033
GOLGA8B	https://dx.doi.org/10.1002/humu.22033
GOLGA8H	https://dx.doi.org/10.1002/humu.22033
GOLGA8J	https://dx.doi.org/10.1002/humu.22033
GOLGA8K	https://dx.doi.org/10.1002/humu.22033
GOLGA8M	https://dx.doi.org/10.1002/humu.22033
GOLGA8N	https://dx.doi.org/10.1002/humu.22033
GOLGA8O	https://dx.doi.org/10.1002/humu.22033
GOLGA8R	https://dx.doi.org/10.1002/humu.22033
GON4L	https://dx.doi.org/10.1002/humu.22033
GPAT2	https://dx.doi.org/10.1002/humu.22033
GPR89A	https://dx.doi.org/10.1002/humu.22033
GPR89B	https://dx.doi.org/10.1002/humu.22033
GRAP	https://dx.doi.org/10.1002/humu.22033
GRAPL	https://dx.doi.org/10.1002/humu.22033
GRM5	https://dx.doi.org/10.1002/humu.22033
GSTM1	https://dx.doi.org/10.1002/humu.22033
GSTM2	https://dx.doi.org/10.1002/humu.22033
GSTM5	https://dx.doi.org/10.1002/humu.22033
GSTT2	https://dx.doi.org/10.1002/humu.22033
GSTT2B	https://dx.doi.org/10.1002/humu.22033
GTF2H2	https://dx.doi.org/10.1002/humu.22033
GTF2H2C	https://dx.doi.org/10.1002/humu.22033
GTF2I	https://dx.doi.org/10.1002/humu.22033
GTF2IRD2	https://dx.doi.org/10.1002/humu.22033
GTF2IRD2B	https://dx.doi.org/10.1002/humu.22033
GYPA	https://dx.doi.org/10.1002/humu.22033
GYPB	https://dx.doi.org/10.1002/humu.22033
GYPE	https://dx.doi.org/10.1002/humu.22033
H2AFB1	https://dx.doi.org/10.1002/humu.22033
H2AFB2	https://dx.doi.org/10.1002/humu.22033
H2AFB3	https://dx.doi.org/10.1002/humu.22033
HAUS6	https://dx.doi.org/10.1002/humu.22033
HBA1	https://dx.doi.org/10.1002/humu.22033
HBA2	https://dx.doi.org/10.1002/humu.22033
HBG1	https://dx.doi.org/10.1002/humu.22033
HBG2	https://dx.doi.org/10.1002/humu.22033
HCAR2	https://dx.doi.org/10.1002/humu.22033
HCAR3	https://dx.doi.org/10.1002/humu.22033
HERC2	https://dx.doi.org/10.1002/humu.22033
HGH1	https://dx.doi.org/10.1002/humu.22033
HIST1H2AJ	https://dx.doi.org/10.1002/humu.22033
HIST1H4K	https://dx.doi.org/10.1002/humu.22033
HIST2H2AA3	https://dx.doi.org/10.1002/humu.22033
HIST2H2AA4	https://dx.doi.org/10.1002/humu.22033
HIST2H2BF	https://dx.doi.org/10.1002/humu.22033
HIST2H3A	https://dx.doi.org/10.1002/humu.22033
HIST2H3C	https://dx.doi.org/10.1002/humu.22033
HIST2H3D	https://dx.doi.org/10.1002/humu.22033
HIST2H4A	https://dx.doi.org/10.1002/humu.22033
HIST2H4B	https://dx.doi.org/10.1002/humu.22033
HNRNPA1L2	https://dx.doi.org/10.1002/humu.22033
HNRNPCL1	https://dx.doi.org/10.1002/humu.22033
HNRNPCL2	https://dx.doi.org/10.1002/humu.22033
HP	https://dx.doi.org/10.1002/humu.22033
HPR	https://dx.doi.org/10.1002/humu.22033
HRNR	https://dx.doi.org/10.1002/humu.22033
HS3ST3A1	https://dx.doi.org/10.1002/humu.22033
HS3ST3B1	https://dx.doi.org/10.1002/humu.22033
HS6ST1	https://dx.doi.org/10.1002/humu.22033
HSD17B7	https://dx.doi.org/10.1002/humu.22033
HSFX1	https://dx.doi.org/10.1002/humu.22033
HSFX2	https://dx.doi.org/10.1002/humu.22033
HSFY1	https://dx.doi.org/10.1002/humu.22033
HSFY2	https://dx.doi.org/10.1002/humu.22033
HSPA1A	https://dx.doi.org/10.1002/humu.22033
HSPA1B	https://dx.doi.org/10.1002/humu.22033
HSPA6	https://dx.doi.org/10.1002/humu.22033
HYDIN	https://dx.doi.org/10.1002/humu.22033
IDS	https://dx.doi.org/10.1002/humu.22033
IFNA1	https://dx.doi.org/10.1002/humu.22033
IFNA10	https://dx.doi.org/10.1002/humu.22033
IFNA13	https://dx.doi.org/10.1002/humu.22033
IFNA21	https://dx.doi.org/10.1002/humu.22033
IFNA4	https://dx.doi.org/10.1002/humu.22033
IFNL2	https://dx.doi.org/10.1002/humu.22033
IFT122	https://dx.doi.org/10.1002/humu.22033
IGFN1	https://dx.doi.org/10.1002/humu.22033
IGSF3	https://dx.doi.org/10.1002/humu.22033
IKBKG	https://dx.doi.org/10.1002/humu.22033
IL9R	https://dx.doi.org/10.1002/humu.22033
INTS4	https://dx.doi.org/10.1002/humu.22033
IQSEC3	https://dx.doi.org/10.1002/humu.22033
KCNMB3	https://dx.doi.org/10.1002/humu.22033
KCTD5	https://dx.doi.org/10.1002/humu.22033
KDM4E	https://dx.doi.org/10.1002/humu.22033
KIAA1586	https://dx.doi.org/10.1002/humu.22033
KIAA1671	https://dx.doi.org/10.1002/humu.22033
KIAA2013	https://dx.doi.org/10.1002/humu.22033
KIR2DL1	https://dx.doi.org/10.1002/humu.22033
KIR2DL3	https://dx.doi.org/10.1002/humu.22033
KIR2DL4	https://dx.doi.org/10.1002/humu.22033
KIR2DS4	https://dx.doi.org/10.1002/humu.22033
KIR3DL1	https://dx.doi.org/10.1002/humu.22033
KIR3DL2	https://dx.doi.org/10.1002/humu.22033
KIR3DL3	https://dx.doi.org/10.1002/humu.22033
KLHL2	https://dx.doi.org/10.1002/humu.22033
KLRC1	https://dx.doi.org/10.1002/humu.22033
KLRC2	https://dx.doi.org/10.1002/humu.22033
KLRC3	https://dx.doi.org/10.1002/humu.22033
KMT2C	https://dx.doi.org/10.1002/humu.22033
KMT5A	https://dx.doi.org/10.1002/humu.22033
KRT17	https://dx.doi.org/10.1002/humu.22033
KRT31	https://dx.doi.org/10.1002/humu.22033
KRT34	https://dx.doi.org/10.1002/humu.22033
KRT6A	https://dx.doi.org/10.1002/humu.22033
KRT6B	https://dx.doi.org/10.1002/humu.22033
KRT6C	https://dx.doi.org/10.1002/humu.22033
KRT81	https://dx.doi.org/10.1002/humu.22033
KRT86	https://dx.doi.org/10.1002/humu.22033
KRTAP10-4	https://dx.doi.org/10.1002/humu.22033
KRTAP10-7	https://dx.doi.org/10.1002/humu.22033
KRTAP2-1	https://dx.doi.org/10.1002/humu.22033
KRTAP2-3	https://dx.doi.org/10.1002/humu.22033
KRTAP2-4	https://dx.doi.org/10.1002/humu.22033
KRTAP9-2	https://dx.doi.org/10.1002/humu.22033
KRTAP9-8	https://dx.doi.org/10.1002/humu.22033
KRTAP9-9	https://dx.doi.org/10.1002/humu.22033
LAIR1	https://dx.doi.org/10.1002/humu.22033
LAIR2	https://dx.doi.org/10.1002/humu.22033
