#PFAM_ID	DESCRIPTION
PF07695	7TM diverse intracellular signalling
PF07697	7TM-HD extracellular
PF00001	7 transmembrane receptor (rhodopsin family)
PF00002	7 transmembrane receptor (Secretin family)
PF00003	7 transmembrane sweet-taste receptor of 3 GCPR
PF13853	Olfactory receptor
PF02949	7tm Odorant receptor
PF08395	7tm Chemosensory receptor
PF02117	Serpentine type 7TM GPCR chemoreceptor Sra
PF10292	Serpentine type 7TM GPCR receptor class ab chemoreceptor
PF02175	Serpentine type 7TM GPCR chemoreceptor Srb
PF10316	Serpentine type 7TM GPCR chemoreceptor Srbc 
PF10317	Serpentine type 7TM GPCR chemoreceptor Srd
PF10318	Serpentine type 7TM GPCR chemoreceptor Srh
PF10327	Serpentine type 7TM GPCR chemoreceptor Sri
PF10319	Serpentine type 7TM GPCR chemoreceptor Srj
PF10320	Serpentine type 7TM GPCR chemoreceptor Srsx
PF10321	Serpentine type 7TM GPCR chemoreceptor Srt
PF10322	Serpentine type 7TM GPCR chemoreceptor Sru
PF10323	Serpentine type 7TM GPCR chemoreceptor Srv
PF10324	Serpentine type 7TM GPCR chemoreceptor Srw
PF10328	Serpentine type 7TM GPCR chemoreceptor Srx
PF10325	Serpentine type 7TM GPCR chemoreceptor Srz
PF10326	Serpentine type 7TM GPCR chemoreceptor Str
PF14402	7 transmembrane helices usually fused to an inactive transglutaminase
PF17028	8TM Microsporidial transmembrane domain
PF07388	Alpha-2,8-polysialyltransferase (POLYST)
PF07966	A1 Propeptide 
PF08792	A2L zinc ribbon domain
PF00207	Alpha-2-macroglobulin family
PF07703	Alpha-2-macroglobulin bait region domain
PF07677	A-macroglobulin receptor binding domain
PF03443	Auxiliary Activity family 9 (formerly GH61)
PF00004	ATPase family associated with various cellular activities (AAA)
PF09820	Predicted AAA-ATPase
PF12846	AAA-like domain
PF13086	AAA domain
PF13087	AAA domain
PF13166	AAA domain
PF13173	AAA domain
PF13175	AAA ATPase domain
PF13191	AAA ATPase domain
PF13207	AAA domain
PF13238	AAA domain
PF13245	AAA domain
PF07724	AAA domain (Cdc48 subfamily)
PF13304	AAA domain, putative AbiEii toxin, Type IV TA system
PF13401	AAA domain
PF13476	AAA domain
PF13479	AAA domain
PF13481	AAA domain
PF13500	AAA domain
PF13514	AAA domain
PF13521	AAA domain
PF13555	P-loop containing region of AAA domain
PF07726	ATPase family associated with various cellular activities (AAA)
PF13604	AAA domain
PF13614	AAA domain
PF13654	AAA domain
PF13671	AAA domain
PF13872	P-loop containing NTP hydrolase pore-1
PF14516	AAA-like domain
PF07728	AAA domain (dynein-related subfamily)
PF12774	Hydrolytic ATP binding site of dynein motor region
PF12775	P-loop containing dynein motor region
PF12780	P-loop containing dynein motor region D4
PF12781	ATP-binding dynein motor region
PF14363	Domain associated at C-terminal with AAA
PF16193	AAA C-terminal domain
PF09821	C-terminal AAA-associated domain
PF17857	AAA+ lid domain
PF17872	AAA lid domain
PF18198	Dynein heavy chain AAA lid domain
PF17863	AAA lid domain
PF17862	AAA+ lid domain
PF17864	RuvB AAA lid domain
PF17865	Midasin AAA lid domain
PF17866	AAA lid domain
PF17867	Midasin AAA lid domain
PF17868	AAA lid domain
PF17871	AAA lid domain
PF08298	PrkA AAA domain
PF18280	Aminoglycoside adenyltransferase C-terminal domain
PF04611	Mating type protein A alpha Y mating type dependent binding region 
PF03306	Alpha-acetolactate decarboxylase
PF05282	AAR2 protein
PF08142	AARP2CN (NUC121) domain
PF03417	Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase
PF07247	Alcohol acetyltransferase
PF13339	Apoptosis antagonizing transcription factor
PF00696	Amino acid kinase family
PF00324	Amino acid permease
PF13520	Amino acid permease
PF13906	C-terminus of AA_permease
PF08403	Amino acid permease N-terminal
PF06684	Amino acid synthesis
PF01490	Transmembrane amino acid transporter protein
PF07336	Putative stress-induced transcription regulator
PF12430	Abscisic acid G-protein coupled receptor 
PF02496	ABA/WDS induced protein
PF14156	Antirepressor AbbA
PF00950	ABC 3 transport family
PF03109	ABC1 atypical kinase-like domain
PF01061	ABC-2 type transporter
PF12679	ABC-2 family transporter protein
PF12698	ABC-2 family transporter protein
PF12730	ABC-2 family transporter protein
PF13346	ABC-2 family transporter protein
PF06182	ABC-2 family transporter protein
PF19055	ABC-2 type transporter
PF09818	Predicted ATPase of the ABC class
PF09819	ABC-type cobalt transport system, permease component
PF16962	Putative ABC exporter
PF00664	ABC transporter transmembrane region
PF06472	ABC transporter transmembrane region 2
PF13748	ABC transporter transmembrane region
PF04392	ABC transporter substrate binding protein
PF00005	ABC transporter
PF09822	ABC-type uncharacterized transport system
PF03886	ABC-type transport auxiliary lipoprotein component
PF06541	Putative ABC-transporter type IV
PF14510	ABC-transporter N-terminal
PF16949	Putative ATP-binding cassette
PF16326	ABC transporter C-terminal domain
PF12848	ABC transporter
PF12407	Homeobox protein 
PF05270	Alpha-L-arabinofuranosidase B (ABFB) domain
PF18225	Sensor histidine kinase (AbfS) sensor domain
PF03806	AbgT putative transporter family
PF00561	alpha/beta hydrolase fold
PF20091	Alpha/beta hydrolase domain
PF02230	Phospholipase/Carboxylesterase
PF07859	alpha/beta hydrolase fold
PF08386	TAP-like protein
PF12695	Alpha/beta hydrolase family
PF12697	Alpha/beta hydrolase family
PF12715	Abhydrolase family
PF06259	Alpha/beta hydrolase
PF10081	Alpha/beta-hydrolase family
PF15420	Alpha/beta-hydrolase family N-terminus
PF04083	Partial alpha/beta-hydrolase lipase region
PF08843	Nucleotidyl transferase AbiEii toxin, Type IV TA system
PF09407	AbiEi antitoxin C-terminal domain
PF09952	Transcriptional regulator, AbiEi antitoxin, Type IV TA system
PF11459	Transcriptional regulator, AbiEi antitoxin, Type IV TA system
PF17194	Transcriptional regulator, AbiEi antitoxin N-terminal domain
PF13338	Transcriptional regulator, AbiEi antitoxin
PF10899	Putative abortive phage resistance protein AbiGi, antitoxin
PF16873	Putative abortive phage resistance protein AbiGii toxin
PF14253	Bacteriophage abortive infection AbiH
PF18860	AbiJ N-terminal domain 3
PF18863	AbiJ N-terminal domain 4
PF18865	AbiJ N-terminal domain 5
PF18864	AbiTii
PF07751	Abi-like protein
PF14337	Abortive infection alpha
PF14355	Abortive infection C-terminus
PF07815	Abl-interactor HHR
PF16182	Putative adherens-junction anchoring region of AbLIM
PF03992	Antibiotic biosynthesis monooxygenase
PF09441	ARS binding protein 2
PF05145	Transition state regulatory protein AbrB
PF14250	AbrB-like transcriptional regulator
PF18277	AbrB C-terminal domain
PF07280	Per os infectivity factor AC110
PF05814	Orf76 (Ac76)
PF05820	Baculoviridae AC81
PF08900	Transcriptional regulator AcaB
PF16177	Acetyl-coenzyme A synthetase N-terminus
PF13000	Acetyl-coenzyme A transporter 1
PF00887	Acyl CoA binding protein
PF03255	Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit
PF08326	Acetyl-CoA carboxylase, central region
PF13822	Acyl-CoA carboxylase epsilon subunit
PF16671	Actin cross-linking domain
PF14733	AP2-coincident C-terminal
PF06315	Isocitrate dehydrogenase kinase/phosphatase (AceK)
PF00871	Acetokinase family
PF09290	Prokaryotic acetaldehyde dehydrogenase, dimerisation
PF08882	Acetone carboxylase gamma subunit
PF02550	Acetyl-CoA hydrolase/transferase N-terminal domain
PF13336	Acetyl-CoA hydrolase/transferase C-terminal domain
PF00583	Acetyltransferase (GNAT) family
PF13673	Acetyltransferase (GNAT) domain
PF13720	Udp N-acetylglucosamine O-acyltransferase; Domain 2
PF13880	ESCO1/2 acetyl-transferase
PF03421	YopJ Serine/Threonine acetyltransferase
PF17013	Putative acetyl-transferase
PF05301	GNAT acetyltransferase, Mec-17 
PF17668	Acetyltransferase (GNAT) domain
PF18014	Acetyltransferase (GNAT) domain
PF18015	Acetyltransferase (GNAT) domain
PF00797	N-acetyltransferase
PF13302	Acetyltransferase (GNAT) domain
PF13420	Acetyltransferase (GNAT) domain
PF13444	Acetyltransferase (GNAT) domain
PF13480	Acetyltransferase (GNAT) domain
PF13508	Acetyltransferase (GNAT) domain
PF13523	Acetyltransferase (GNAT) domain
PF13527	Acetyltransferase (GNAT) domain
PF14542	GCN5-related N-acetyl-transferase
PF08674	Acetylcholinesterase tetramerisation domain
PF15270	Metallo-carboxypeptidase inhibitor 
PF03767	HAD superfamily, subfamily IIIB (Acid phosphatase)
PF12689	Acid Phosphatase
PF05054	Autographa californica nuclear polyhedrosis virus (AcMNPV) protein
PF04412	Aconitase X
PF00330	Aconitase family (aconitate hydratase)
PF06434	Aconitate hydratase 2 N-terminus
PF11791	Aconitate B N-terminal domain
PF00694	Aconitase C-terminal domain
PF01756	Acyl-CoA oxidase
PF06857	Malonate decarboxylase delta subunit (MdcD)
PF05777	Drosophila accessory gland-specific peptide 26Ab (Acp26Ab)
PF06313	Drosophila ACP53EA protein
PF01648	4'-phosphopantetheinyl transferase superfamily
PF04336	Acyl carrier protein phosphodiesterase
PF08545	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
PF08541	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal  
PF10766	Multidrug efflux pump-associated protein AcrZ
PF00873	AcrB/AcrD/AcrF family
PF19436	ACS/CODH beta subunit C-terminal
PF01842	ACT domain
PF09192	Actin-fragmin kinase, catalytic
PF05058	ActA Protein
PF16102	ACTH-associated domain
PF00976	Corticotropin ACTH domain
PF00022	Actin
PF14408	Ribosomally synthesised peptide in actinomycetes
PF17003	Putative actin-like family
PF11657	Transcriptional activator TraM 
PF11498	Transcriptional activator LAG-3
PF01064	Activin types I and II receptor domain
PF16840	Actin-like protein 7A N-terminus
PF10000	ACT domain
PF13291	ACT domain
PF13710	ACT domain
PF13740	ACT domain
PF13840	ACT domain 
PF19571	ACT domain pair
PF18859	Actinobacteria/chloroflexi VLRF1 release factor
PF01643	Acyl-ACP thioesterase
PF00441	Acyl-CoA dehydrogenase, C-terminal domain
PF08028	Acyl-CoA dehydrogenase, C-terminal domain
PF12806	Acetyl-CoA dehydrogenase C-terminal like
PF02770	Acyl-CoA dehydrogenase, middle domain
PF02771	Acyl-CoA dehydrogenase, N-terminal domain
PF14749	Acyl-coenzyme A oxidase N-terminal
PF12590	Acyl-ATP thioesterase
PF12186	Acyl-CoA dehydrogenase C terminal
PF12418	Acyl-CoA dehydrogenase N terminal 
PF00708	Acylphosphatase
PF01553	Acyltransferase
PF19576	Acyltransferase
PF16076	Acyltransferase C-terminus
PF02551	Acyl-CoA thioesterase
PF00698	Acyl transferase domain
PF02273	Acyl transferase
PF01757	Acyltransferase family
PF18883	Autochaperone Domain Type 1
PF16214	Adenylyl cyclase N-terminal extracellular and transmembrane region
PF09793	Anticodon-binding domain
PF10198	Histone acetyltransferases subunit 3
PF16698	Membrane-proximal domain, switch, for ADAM17
PF08516	ADAM cysteine-rich
PF17771	ADAM cysteine-rich domain
PF19236	ADAM cysteine-rich domain
PF05986	ADAM-TS Spacer 1
PF10199	Alpha and gamma adaptin binding protein p34
PF01602	Adaptin N terminal region
PF00928	Adaptor complexes medium subunit family
PF02805	Metal binding domain of Ada
PF06314	Acetoacetate decarboxylase (ADC)
PF17981	Cysteine Rich ADD domain
PF17980	Cysteine rich ADD domain in DNMT3
PF13382	Adenine deaminase C-terminal domain
PF03352	Methyladenine glycosylase
PF04008	Adenosine specific kinase
PF02438	Late 100kD protein
PF03052	Adenoviral protein L1 52/55-kDa
PF02703	Early E1A protein
PF01691	Adenovirus E1B 19K protein / small t-antigen
PF01696	Adenovirus EB1 55K protein / large t-antigen
PF04623	Adenovirus E1B protein N-terminus
PF06040	Adenovirus E3 protein
PF05248	Adenovirus E3A
PF03376	Adenovirus E3B protein
PF04834	Early E3 14.5 kDa protein
PF03307	Adenovirus 15.3kD protein in E3 region
PF02440	Adenovirus E3 region protein CR1
PF02439	Adenovirus E3 region protein CR2
PF05385	Mastadenovirus early E4 13 kDa protein
PF04528	Adenovirus early E4 34 kDa protein conserved region
PF06931	Mastadenovirus E4 ORF3 protein
PF04881	Adenovirus GP19K
PF01065	Hexon, adenovirus major coat protein, N-terminal domain
PF03678	Hexon, adenovirus major coat protein, C-terminal domain
PF02456	Adenovirus IVa2 protein
PF00541	Adenoviral fibre protein (knob domain)
PF01686	Adenovirus penton base protein
PF03955	Adenovirus hexon-associated protein (IX)
PF03910	Adenovirus minor core protein PV
PF01310	Adenovirus hexon associated protein, protein VIII
PF05829	Adenovirus late L2 mu core protein (Protein X)
PF00608	Adenoviral fibre protein (repeat/shaft region)
PF02459	Adenoviral DNA terminal protein
PF03228	Adenoviral core protein VII
PF16579	Adenylate sensor of SNF1-like protein kinase
PF01295	Adenylate cyclase, class-I
PF00709	Adenylosuccinate synthetase
PF12633	Adenylate cyclase NT domain
PF04439	Streptomycin adenylyltransferase
PF16812	C-terminal head domain of the fowl adenovirus type 1 long fibre
PF09085	Adhesion molecule, immunoglobulin-like
PF04619	Dr-family adhesin
PF16747	Surface-adhesin protein E
PF03257	Mycoplasma adhesin P1
PF18652	Adhesin P1 N-terminal domain
PF08240	Alcohol dehydrogenase GroES-like domain
PF16884	N-terminal domain of oxidoreductase
PF13823	Alcohol dehydrogenase GroES-associated
PF00106	short chain dehydrogenase
PF13561	Enoyl-(Acyl carrier protein) reductase
PF00107	Zinc-binding dehydrogenase
PF13602	Zinc-binding dehydrogenase
PF02274	Arginine deiminase
PF11559	Afadin- and alpha -actinin-Binding
PF15202	Adipogenin
PF06377	Adipokinetic hormone
PF00406	Adenylate kinase
PF05191	Adenylate kinase, active site lid
PF19627	Activity-dependent neuroprotector homeobox protein N-terminal
PF05221	S-adenosyl-L-homocysteine hydrolase
PF00670	S-adenosyl-L-homocysteine hydrolase, NAD binding domain
PF08132	S-adenosyl-l-methionine decarboxylase leader peptide
PF02675	S-adenosylmethionine decarboxylase 
PF07757	Predicted AdoMet-dependent methyltransferase
PF01941	S-adenosylmethionine synthetase (AdoMet synthetase)
PF03496	ADP-ribosyltransferase exoenzyme
PF18648	Tse2 ADP-ribosyltransferase toxins
PF04587	ADP-specific Phosphofructokinase/Glucokinase conserved region
PF03747	ADP-ribosylglycohydrolase
PF10397	Adenylosuccinate lyase C-terminus
PF20032	ADYC domain
PF08509	Adenylate cyclase G-alpha binding domain
PF16701	Adenylate cyclase regulatory domain
PF06355	Aegerolysin
PF17049	ATPase expression protein 1
PF01117	Aerolysin toxin
PF05110	AF-4 proto-oncoprotein N-terminal region
PF18876	AF-4 proto-oncoprotein C-terminal region
PF14591	AF0941-like
PF14556	AF2331-like
PF18875	AF4 interaction motif
PF05775	Enterobacteria AfaD invasin protein
PF15339	Acrosome formation-associated factor
PF03969	AFG1-like ATPase
PF07792	Docking domain of Afi1 for Arf3 in vesicle trafficking
PF08493	Aflatoxin regulatory protein
PF01314	Aldehyde ferredoxin oxidoreductase, domains 2 & 3
PF02730	Aldehyde ferredoxin oxidoreductase, N-terminal domain
PF02420	Insect antifreeze protein repeat
PF18815	Bacterial antifreeze protein repeat
PF03756	A-factor biosynthesis hotdog domain
PF08731	Transcription factor AFT
PF11786	Aft1 HRA domain
PF11787	Aft1 HRR domain
PF11785	Aft1 osmotic stress response (OSM) domain
PF12249	Arabinofuranosyltransferase A C terminal
PF12250	Arabinofuranosyltransferase N terminal
PF04671	Erythrocyte membrane-associated giant protein antigen 332 
PF17366	A-agglutinin-binding subunit Aga2
PF17992	Agarase CBM like domain
PF05641	Agenet domain
PF07468	Agglutinin domain
PF18021	Agglutinin C-terminal
PF17558	Androgenic gland hormone
PF17998	Cell surface antigen I/II C2 terminal domain
PF19712	Acylglycerol kinase C-terminal
PF18079	Archaeal glycosylation protein B long peripheral domain
PF09171	N-glycosylase/DNA lyase
PF05039	Agouti protein
PF10427	Argonaute hook
PF18236	Argonaute N domain
PF18351	Fungal Argonaute N-terminal domain
PF18309	Argonaute PAZ domain
PF06376	Arabinogalactan peptide
PF18723	alpha-glutamyl/putrescinyl thymine pyrophosphorylase clade 1
PF18724	Alpha-glutamyl/putrescinyl thymine pyrophosphorylase clade 2
PF18746	Alpha-glutamyl/putrescinyl thymine pyrophosphorylase clade 3
PF04647	Accessory gene regulator B
PF19188	Adhesion GPCR B N-terminal region
PF05931	Staphylococcal AgrD protein
PF04730	Agrobacterium VirD5 protein
PF18134	Adenylyl/Guanylyl and SMODS C-terminal sensor domain
PF11440	DNA alpha-glucosyltransferase
PF06396	Angiotensin II, type I receptor-associated protein (AGTRAP)
PF09229	Activator of Hsp90 ATPase, N-terminal
PF17793	ANC1 homology domain (AHD)
PF14412	A nuclease family of the HNH/ENDO VII superfamily with conserved AHH
PF18743	REase_AHJR-like
PF17327	Acyl homoserine lactone synthase
PF00578	AhpC/TSA family
PF13911	AhpC/TSA antioxidant enzyme
PF08327	Activator of Hsp90 ATPase homolog 1-like protein
PF09236	Alpha-haemoglobin stabilising protein
PF01594	AI-2E family transporter
PF15334	Aurora kinase A and ninein interacting protein
PF01808	AICARFT/IMPCHase bienzyme
PF18767	Activation induced deaminase
PF16168	Adhesin of bacterial autotransporter system, probable stalk 
PF14186	Cytoskeletal adhesion
PF08910	Aida N-terminus
PF18158	Adaptive response protein AidB N-terminal domain
PF14962	Mitochondria Localisation Sequence
PF14721	Apoptosis-inducing factor, mitochondrion-associated, C-term
PF04548	AIG1 family
PF13772	AIG2-like family
PF06316	Enterobacterial Ail/Lom protein
PF10315	Altered inheritance of mitochondria protein 19 
PF11489	Altered inheritance of mitochondria protein 21 
PF01987	Mitochondrial biogenesis AIM24
PF17096	Altered inheritance of mitochondria protein 3
PF17050	Altered inheritance of mitochondria 5
PF16780	AIMP2 lysyl-tRNA synthetase binding domain
PF03915	Actin interacting protein 3
PF10592	AIPR protein
PF00731	AIR carboxylase
PF00586	AIR synthase related protein, N-terminal domain
PF02769	AIR synthase related protein, C-terminal domain
PF15298	AJAP1/PANP C-terminus
PF14469	28 kDa A-kinase anchor 
PF15304	A-kinase anchor protein 2 C-terminus
PF10469	AKAP7 2'5' RNA ligase-like domain
PF10470	PKA-RI-RII subunit binding domain of A-kinase anchor protein
PF04988	A-kinase anchoring protein 95 (AKAP95)
PF05716	A-kinase anchor protein 110 kDa (AKAP 110)
PF12443	AT-hook-containing transcription factor
PF00490	Delta-aminolevulinic acid dehydratase
PF01262	Alanine dehydrogenase/PNT, C-terminal domain
PF05222	Alanine dehydrogenase/PNT, N-terminal domain
PF06610	L-alanine exporter
PF11839	Alanine-zipper, major outer membrane lipoprotein
PF00842	Alanine racemase, C-terminal domain
PF01168	Alanine racemase, N-terminal domain
PF09135	Alb1
PF01918	Alba
PF04326	Putative DNA-binding domain
PF08027	Albumin I chain b
PF16720	Albumin I chain a
PF17527	Phage ALC protein
PF11606	Family 31 carbohydrate binding protein
PF00171	Aldehyde dehydrogenase family
PF01081	KDPG and KHG aldolase
PF00596	Class II Aldolase and Adducin N-terminal domain
PF01263	Aldose 1-epimerase
PF00248	Aldo/keto reductase family
PF11266	Long-chain fatty aldehyde decarbonylase 
PF01315	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain
PF02738	Molybdopterin-binding domain of aldehyde dehydrogenase
PF03752	Short repeats of unknown function
PF12165	Alfin 
PF15924	ALG11 mannosyltransferase N-terminus
PF08660	Oligosaccharide biosynthesis protein Alg14 like
PF05208	ALG3 protein
PF03155	ALG6, ALG8 glycosyltransferase family
PF11182	Alginate O-acetyl transferase AlgF 
PF13372	Alginate export 
PF05426	Alginate lyase
PF08787	Alginate lyase
PF16822	SGNH hydrolase-like domain, acetyltransferase AlgX
PF13949	ALIX V-shaped domain binding to HIV 
PF06029	AlkA N-terminal domain
PF14864	Alkyl sulfatase C-terminal
PF14863	Alkyl sulfatase dimerisation
PF00245	Alkaline phosphatase
PF03561	Allantoicase repeat
PF05953	Allatostatin
PF06351	Allene oxide cyclase
PF05549	Allexivirus 40kDa protein
PF04864	Allinase
PF15309	ALMS motif
PF18727	Alstrom syndrome repeat
PF11744	Aluminium activated malate transporter
PF04030	D-arabinono-1,4-lactone oxidase 
PF06401	Alpha-2-macroglobulin RAP, C-terminal domain 
PF06400	Alpha-2-macroglobulin RAP, N-terminal domain
PF00128	Alpha amylase, catalytic domain
PF02806	Alpha amylase, C-terminal all-beta domain
PF02903	Alpha amylase, N-terminal ig-like domain
PF09071	Alpha-amylase, C terminal
PF07821	Alpha-amylase C-terminal beta-sheet domain
PF04168	A predicted alpha-helical domain with a conserved ER motif.
PF14456	Alpha-helical domain 2
PF06964	Alpha-L-arabinofuranosidase C-terminal domain
PF09261	Alpha mannosidase middle domain
PF08829	Alpha C protein N terminal
PF17480	AlphaC N-terminal domain 2
PF02883	Adaptin C-terminal domain
PF02296	Alpha adaptin AP2, C-terminal domain
PF01589	Alphavirus E1 glycoprotein
PF00943	Alphavirus E2 glycoprotein
PF01563	Alphavirus E3 glycoprotein
PF03229	Alphavirus glycoprotein J
PF18489	Alpha helical domain
PF02816	Alpha-kinase family
PF01120	Alpha-L-fucosidase
PF02232	Alpha trans-inducing protein (Alpha-TIF) 
PF09608	Putative transmembrane protein (Alph_Pro_TM)
PF17989	Actin like proteins N terminal domain
PF15729	Amyotrophic lateral sclerosis 2 candidate 11
PF15299	Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8
PF10369	Small subunit of acetolactate synthase
PF16541	Alternaria alternata allergen 1
PF20080	ALTTAQ repeat
PF11092	Neuronal protein 3.1 (p311)
PF02430	Apical membrane antigen 1
PF07344	Amastin surface glycoprotein
PF17645	Arylmalonate decarboxylase
PF12475	Amdovirus non-structural protein 
PF05111	Ameloblastin precursor (Amelin)
PF02948	Amelogenin
PF15757	Amelotin
PF12190	Fungal protease inhibitor
PF04709	Anti-Mullerian hormone, N terminal region
PF01425	Amidase
PF01510	N-acetylmuramoyl-L-alanine amidase
PF01520	N-acetylmuramoyl-L-alanine amidase
PF05382	Bacteriophage peptidoglycan hydrolase 
PF12671	Putative amidase domain
PF01979	Amidohydrolase family
PF04909	Amidohydrolase
PF07969	Amidohydrolase family
PF12224	Putative amidoligase enzyme
PF09663	Amidohydrolase ring-opening protein (Amido_AtzD_TrzD)
PF11741	AMIN domain
PF10706	Aminoglycoside-2''-adenylyltransferase
PF10023	Putative aminopeptidase
PF00155	Aminotransferase class I and II
PF00202	Aminotransferase class-III
PF01063	Amino-transferase class IV
PF00266	Aminotransferase class-V
PF01593	Flavin containing amine oxidoreductase
PF02293	AmiS/UreI family transporter
PF10997	Alternate to MurJ
PF01871	AMMECR1
PF00909	Ammonium Transporter Family
PF14828	Amnionless
PF10423	Bacterial AMP nucleoside phosphorylase N-terminus 
PF02461	Ammonia monooxygenase
PF04896	Ammonia monooxygenase/methane monooxygenase, subunit C
PF03782	AMOP domain
PF00501	AMP-binding enzyme
PF13193	AMP-binding enzyme C-terminal domain
PF14535	AMP-binding enzyme C-terminal domain
PF17113	Regulatory signalling modulator protein AmpE
PF20068	Amphi-Trp domain
PF16561	Glycogen recognition site of AMP-activated protein kinase
PF04739	5'-AMP-activated protein kinase beta subunit, interaction domain
PF19326	AMP deaminase
PF05195	Aminopeptidase P, N-terminal domain
PF12859	Anaphase-promoting complex subunit 1
PF03256	Anaphase-promoting complex, subunit 10 (APC10)
PF15243	Anaphase-promoting complex subunit 15
PF17256	Anaphase-promoting complex, subunit 16
PF08672	Anaphase promoting complex (APC) subunit 2
PF12895	Anaphase-promoting complex, cyclosome, subunit 3
PF12896	Anaphase-promoting complex, cyclosome, subunit 4
PF12894	Anaphase-promoting complex subunit 4 WD40 domain
PF12862	Anaphase-promoting complex subunit 5
PF04049	Anaphase promoting complex subunit 8 / Cdc23 
PF12856	Anaphase-promoting complex subunit 9
PF10471	Anaphase-promoting complex APC subunit CDC26
PF01821	Anaphylotoxin-like domain
PF02166	Androgen receptor
PF06369	Sea anemone cytotoxic protein
PF03139	Vanadium/alternative nitrogenase delta subunit
PF09582	Iron only nitrogenase protein AnfO (AnfO_nitrog)
PF01094	Receptor family ligand binding region
PF12240	Angiomotin C terminal
PF08174	Cell division protein anillin
PF16018	Anillin N-terminus
PF00023	Ankyrin repeat
PF07260	Progressive ankylosis protein (ANKH)
PF18418	Ankyrin ubiquitin-binding domain
PF12796	Ankyrin repeats (3 copies)
PF13606	Ankyrin repeat
PF13637	Ankyrin repeats (many copies)
PF13857	Ankyrin repeats (many copies)
PF03702	Anhydro-N-acetylmuramic acid kinase
PF00191	Annexin
PF18411	Annexin-like domain
PF04547	Calcium-activated chloride channel
PF16178	Dimerisation domain of Ca+-activated chloride-channel, anoctamin
PF10731	Thrombin inhibitor from mosquito
